(1) GlymaID from Gmax version 2.0. Only primary predicted proteins were included in analyses. For more information on Gmax2.0 cDNAs see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(2) Top Uniref100 BLASTP Hit. Match determined via BLASTP of Gmax2.0 primary proteins against Uniref100 (version 03/27/2014). E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(3) Top Descriptive Uniref100 BLASTP Hit. The BLAST report generated above (2) was parsed to eliminate uninformative hits.  Hits including the words uncharacterized, putative, related, predicted, orf, expressed or containing Arabidopsis or Rice gene identifiers (AtXgXXXXX, OsXXgXXXXX) were ignored. E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(4) Top Arabidopsis (TAIR10) BLASTP Hit (4). Match determined via BLASTP of Gmax2.0 primary proteins against Arabidopsis thaliana proteins (TAIR10). For additional details see www.arabidopsis.org. E-value for the top high scoring pair(HSP) is indicated. Percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(5) Gene Ontology Biological Process IDs. GO Biological Process IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(6) Gene Ontology Molecular Function IDs. GO Molecular Function IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v. 10 (03/27/14). Descriptions for the GO terms are also provided.
(7) Gene Ontology Cellular Component IDs. GO Cellular Component IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(8) PFAM IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(9) PANTHER IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(10) KOG IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.

Gmax 2.0 Primary Protein ID (1)	Protein Length (AA)	Top Uniref100 BLASTP Hit (2)	E-value (E<10-6)	% Coverage	Top Descriptive Uniref100 BLASTP Hit (3)	E-value (E<10-6)	% Coverage	Top Arabidopsis (TAIR10) BLASTP Hit (4)	E-value (E<10-6)	Coverage	Gene Ontology Biological Process IDs (5)	Gene Ontology Biological Process Descriptions	Gene Ontology Molecular Function IDs (6)	Gene Ontology Molecular Function Descriptions	Gene Ontology Cellular Component IDs (7)	Gene Ontology Cellular Component Descriptions	PFAM IDs (8)	PFAM_Descriptions	Panther IDs (9)	Panther_Descriptions	KOG IDs (10)	KOG_Desctiptions
Glyma.01G009100	773	UniRef100_K7K155 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K155_SOYBN	0	100	UniRef100_G7JBV6 HAT family dimerization domain containing protein n=1 Tax=Medicago truncatula RepID=G7JBV6_MEDTR	0	92.46	AT1G19260.1|Symbols:|TTF-type zinc finger protein with HAT dimerisation domain|chr1:6657260-6659569 REVERSE LENGTH=769	0	96.62	GO:0008150	biological process	GO:0046983	protein dimerization activity	GO:0005634 GO:0009506	nucleus; plasmodesma	PF05699	hAT family C-terminal dimerisation region	PTHR11697	GENERAL TRANSCRIPTION FACTOR 2-RELATED ZINC FINGER PROTEIN	NA	NA	
Glyma.01G009200	174	UniRef100_I1J4K5 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4K5_SOYBN	1.00E-123	100	UniRef100_G7J3I2 Lachrymatory-factor synthase n=1 Tax=Medicago truncatula RepID=G7J3I2_MEDTR	9.00E-43	85.55	AT2G25770.2|Symbols:|Polyketide cyclase/dehydrase and lipid transport superfamily protein|chr2:10992987-10993490 FORWARD LENGTH=167	7.00E-47	99.4	GO:0008150	biological process	GO:0003674	molecular function	GO:0005634	nucleus	PF10604	Polyketide cyclase / dehydrase and lipid transport	NA	NA	NA	NA	
Glyma.01G009300	779	UniRef100_I1J4K6 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4K6_SOYBN	0	100	UniRef100_G7IE81 Dolichyl-diphosphooligosaccharide-protein glycosyltransferase subunit STT3A n=1 Tax=Medicago truncatula RepID=G7IE81_MEDTR	0	100.65	AT5G19690.1|Symbols:STT3A|staurosporin and temperature sensitive 3-like A|chr5:6652649-6658214 FORWARD LENGTH=779	0	99.87	GO:0006364 GO:0009627 GO:0009651 GO:0034976 GO:0047484	rRNA processing; regulation of response to osmotic stress; response to endoplasmic reticulum stress; response to salt stress; systemic acquired resistance	GO:0004576	oligosaccharyl transferase activity	GO:0005783 GO:0005886 GO:0009507 GO:0016020	chloroplast; endoplasmic reticulum; membrane; plasma membrane	PF02516	Oligosaccharyl transferase STT3 subunit	PTHR13872	60S RIBOSOMAL PROTEIN L35	KOG2292	Oligosaccharyltransferase,_STT3_subunit  	
Glyma.01G009400	959	UniRef100_I1J4K7 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4K7_SOYBN	0	100.84	NA	NA	NA	AT2G25800.1|Symbols:|Protein of unknown function (DUF810)|chr2:11006138-11009728 REVERSE LENGTH=987	0	95.24	GO:0008150 GO:0009832 GO:0016049 GO:0030243	biological process; cell growth; cellulose metabolic process; plant-type cell wall biogenesis	NA	NA	GO:0009507	chloroplast	PF05664	Protein of unknown function (DUF810)	NA	NA	NA	NA	
Glyma.01G009500	232	UniRef100_K7K156 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K156_SOYBN	2.00E-170	100	UniRef100_L0P1B3 Similar to isoflavone reductase homolog n=1 Tax=Lupinus angustifolius RepID=L0P1B3_LUPAN	2.00E-43	27.56	AT1G32100.1|Symbols:ATPRR1, PRR1|pinoresinol reductase 1|chr1:11546472-11547953 REVERSE LENGTH=317	7.00E-36	28.39	GO:0009807 GO:0010413 GO:0045492	glucuronoxylan metabolic process; lignan biosynthetic process; xylan biosynthetic process	GO:0000166 GO:0010283	nucleotide binding; pinoresinol reductase activity	GO:0005737	cytoplasm	PF05368	NmrA-like family	PTHR14194	NITROGEN METABOLIC REGULATION PROTEIN NMR-RELATED	NA	NA	
Glyma.01G009600	271	UniRef100_I1J4K9 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4K9_SOYBN	0	100	UniRef100_L0P0W8 Similar to myb family transcription factor APL n=1 Tax=Lupinus angustifolius RepID=L0P0W8_LUPAN	3.00E-138	91.96	AT5G45580.1|Symbols:|Homeodomain-like superfamily protein|chr5:18481092-18482598 REVERSE LENGTH=264	4.00E-75	94.7	GO:0006355	regulation of transcription, DNA-dependent	GO:0003700	sequence-specific DNA binding transcription factor activity	GO:0005634	nucleus	PF00249	Myb-like DNA-binding domain	NA	NA	NA	NA	
Glyma.01G009700	538	UniRef100_I1J4L0 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4L0_SOYBN	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G009800	157	UniRef100_C6TM71 Uncharacterized protein n=1 Tax=Glycine max RepID=C6TM71_SOYBN	5.00E-104	100	UniRef100_L0P0X3 Similar to 50S ribosomal protein L35 n=1 Tax=Lupinus angustifolius RepID=L0P0X3_LUPAN	3.00E-54	77.55	AT5G45590.1|Symbols:|Ribosomal protein L35|chr5:18484643-18486227 REVERSE LENGTH=173	7.00E-37	89.02	GO:0006412	translation	GO:0003735	structural constituent of ribosome	GO:0005622 GO:0005739 GO:0005840	intracellular; mitochondrion; ribosome	PF01632	Ribosomal protein L35	NA	NA	NA	NA	
Glyma.01G009900	457	UniRef100_I1J4L3 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4L3_SOYBN	0	100	UniRef100_Q9FVQ4 Plastidal glycolate/glycerate translocator 1, chloroplastic n=1 Tax=Arabidopsis thaliana RepID=PLGG1_ARATH	0	89.06	AT1G32080.1|Symbols:|membrane protein, putative|chr1:11537572-11539756 REVERSE LENGTH=512	0	89.06	GO:0009658 GO:0010027 GO:0030003 GO:0070838	cellular cation homeostasis; chloroplast organization; divalent metal ion transport; thylakoid membrane organization	NA	NA	GO:0005886 GO:0009507 GO:0009706 GO:0009941 GO:0016020	chloroplast; chloroplast envelope; chloroplast inner membrane; membrane; plasma membrane	PF04172	LrgB-like family 	NA	NA	NA	NA	
Glyma.01G010000	554	UniRef100_I1J4L4 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4L4_SOYBN	0	100	UniRef100_G7K877 4-coumarate-CoA ligase n=1 Tax=Medicago truncatula RepID=G7K877_MEDTR	0	99.64	AT4G19010.1|Symbols:|AMP-dependent synthetase and ligase family protein|chr4:10411715-10414221 REVERSE LENGTH=566	0	97.17	GO:0006914 GO:0008152 GO:0009610	autophagy; metabolic process; response to symbiotic fungus	GO:0003824 GO:0016207	4-coumarate-CoA ligase activity; catalytic activity	GO:0009507	chloroplast	PF00501	AMP-binding enzyme	PTHR24096	FAMILY NOT NAMED	KOG1176	Acyl-CoA_synthetase  	
Glyma.01G010100	804	UniRef100_I1J4L5 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4L5_SOYBN	0	100.75	UniRef100_B9MUA6 Early-responsive to dehydration family protein n=1 Tax=Populus trichocarpa RepID=B9MUA6_POPTR	0	100.88	AT1G32090.1|Symbols:|early-responsive to dehydration stress protein (ERD4)|chr1:11540244-11544041 REVERSE LENGTH=806	0	99.63	GO:0008150	biological process	GO:0003674	molecular function	GO:0005794 GO:0005886 GO:0009506 GO:0009507 GO:0016020	Golgi apparatus; chloroplast; membrane; plasma membrane; plasmodesma	PF02714	Domain of unknown function DUF221	PTHR13018	PROBABLE MEMBRANE PROTEIN DUF221-RELATED	KOG1134	Uncharacterized_conserved_protein  	
Glyma.01G010200	408	UniRef100_I1J4L6 Phosphoribulokinase n=1 Tax=Glycine max RepID=I1J4L6_SOYBN	0	100	UniRef100_I1J4L6 Phosphoribulokinase n=1 Tax=Glycine max RepID=I1J4L6_SOYBN	0	100	AT1G32060.1|Symbols:PRK|phosphoribulokinase|chr1:11532668-11534406 FORWARD LENGTH=395	0	103.04	GO:0000165 GO:0005975 GO:0006098 GO:0006364 GO:0006612 GO:0008152 GO:0009058 GO:0009409 GO:0009595 GO:0009637 GO:0009657 GO:0009697 GO:0009773 GO:0009814 GO:0009862 GO:0009867 GO:0009902 GO:0010103 GO:0010114 GO:0010200 GO:0010207 GO:0010218 GO:0010310 GO:0010363 GO:0015979 GO:0018119 GO:0019344 GO:0019684 GO:0031348 GO:0035304 GO:0042742 GO:0043900 GO:0050832	MAPK cascade; biosynthetic process; carbohydrate metabolic process; chloroplast relocation; cysteine biosynthetic process; defense response, incompatible interaction; defense response to bacterium; defense response to fungus; detection of biotic stimulus; jasmonic acid mediated signaling pathway; metabolic process; negative regulation of defense response; pentose-phosphate shunt; peptidyl-cysteine S-nitrosylation; photosynthesis; photosynthesis, light reaction; photosynthetic electron transport in photosystem I; photosystem II assembly; plastid organization; protein targeting to membrane; rRNA processing; regulation of hydrogen peroxide metabolic process; regulation of multi-organism process; regulation of plant-type hypersensitive response; regulation of protein dephosphorylation; response to blue light; response to chitin; response to cold; response to far red light; response to red light; salicylic acid biosynthetic process; stomatal complex morphogenesis; systemic acquired resistance, salicylic acid mediated signaling pathway	GO:0005515 GO:0005524 GO:0008974 GO:0016301	ATP binding; kinase activity; phosphoribulokinase activity; protein binding	GO:0009507 GO:0009535 GO:0009570 GO:0009579 GO:0009941 GO:0010319 GO:0016020 GO:0048046	apoplast; chloroplast; chloroplast envelope; chloroplast stroma; chloroplast thylakoid membrane; membrane; stromule; thylakoid	PF00485	Phosphoribulokinase / Uridine kinase family	PTHR10285	URIDINE KINASE	KOG4203	Armadillo/beta-Catenin/plakoglobin  	
Glyma.01G010300	270	UniRef100_C6TGL4 Uncharacterized protein n=2 Tax=Glycine max RepID=C6TGL4_SOYBN	0	100	UniRef100_G7K9I4 Secretory carrier-associated membrane protein n=1 Tax=Medicago truncatula RepID=G7K9I4_MEDTR	8.00E-175	100.75	AT1G32050.1|Symbols:|SCAMP family protein|chr1:11528616-11530974 FORWARD LENGTH=264	4.00E-149	101.89	GO:0006944 GO:0015031 GO:0016192	cellular membrane fusion; protein transport; vesicle-mediated transport	GO:0022857	transmembrane transporter activity	GO:0005739 GO:0005794 GO:0005886 GO:0016021	Golgi apparatus; integral to membrane; mitochondrion; plasma membrane	PF04144	SCAMP family	PTHR10687	SECRETORY CARRIER-ASSOCIATED MEMBRANE PROTEIN (SCAMP)	KOG3088	Secretory_carrier_membrane_protein  	
Glyma.01G010400	538	UniRef100_I1J4L9 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4L9_SOYBN	0	100	UniRef100_C6G238 DEAD-box RNA helicase n=1 Tax=Glycine max RepID=C6G238_SOYBN	0	100	AT1G31970.1|Symbols:STRS1|DEA(D/H)-box RNA helicase family protein|chr1:11479921-11482707 FORWARD LENGTH=537	0	81.01	GO:0001510	RNA methylation	GO:0003676 GO:0004386 GO:0005524 GO:0008026	ATP-dependent helicase activity; ATP binding; helicase activity; nucleic acid binding	GO:0005634 GO:0005829	cytosol; nucleus	PF00270 PF00271	DEAD/DEAH box helicase; Helicase conserved C-terminal domain	PTHR24031	FAMILY NOT NAMED	KOG0331	ATP-dependent_RNA_helicase  	
Glyma.01G010500	935	UniRef100_C6ZS43 NBS-LRR type disease resistance protein n=1 Tax=Glycine max RepID=C6ZS43_SOYBN	0	100	UniRef100_C6ZS43 NBS-LRR type disease resistance protein n=1 Tax=Glycine max RepID=C6ZS43_SOYBN	0	100	AT3G07040.1|Symbols:RPM1, RPS3|NB-ARC domain-containing disease resistance protein|chr3:2226244-2229024 REVERSE LENGTH=926	1.00E-149	97.3	GO:0006952 GO:0009626	defense response; plant-type hypersensitive response	GO:0000166 GO:0005515 GO:0043531	ADP binding; nucleotide binding; protein binding	GO:0005886	plasma membrane	PF00931	NB-ARC domain	PTHR23155	LEUCINE-RICH REPEAT-CONTAINING PROTEIN	KOG4658	Apoptotic_ATPase  	
Glyma.01G010600	139	UniRef100_C6T1S3 Uncharacterized protein n=1 Tax=Glycine max RepID=C6T1S3_SOYBN	9.00E-98	100	UniRef100_Q016E2 WGS project CAID00000000 data, contig chromosome 06 n=1 Tax=Ostreococcus tauri RepID=Q016E2_OSTTA	3.00E-07	43.92	AT1G33810.1|Symbols:|unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast, chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 39 Blast hits to 39 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).|chr1:12265084-12266655 FORWARD LENGTH=138	3.00E-61	96.38	GO:0008150 GO:0045036	biological process; protein targeting to chloroplast	GO:0003674	molecular function	GO:0005634 GO:0009507 GO:0009535 GO:0009536 GO:0009941	chloroplast; chloroplast envelope; chloroplast thylakoid membrane; nucleus; plastid	NA	NA	NA	NA	NA	NA	
Glyma.01G010700	947	UniRef100_I1J4M2 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4M2_SOYBN	0	100	UniRef100_G7K9J5 Nbs-lrr resistance protein n=1 Tax=Medicago truncatula RepID=G7K9J5_MEDTR	0	99.16	AT3G07040.1|Symbols:RPM1, RPS3|NB-ARC domain-containing disease resistance protein|chr3:2226244-2229024 REVERSE LENGTH=926	4.00E-144	99.57	GO:0006952 GO:0009626	defense response; plant-type hypersensitive response	GO:0000166 GO:0005515 GO:0043531	ADP binding; nucleotide binding; protein binding	GO:0005886	plasma membrane	PF00931	NB-ARC domain	PTHR23155	LEUCINE-RICH REPEAT-CONTAINING PROTEIN	KOG4658	Apoptotic_ATPase  	
Glyma.01G010800	683	UniRef100_K7K159 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K159_SOYBN	0	100	UniRef100_C8KI33 ATR interacting protein n=1 Tax=Arabidopsis thaliana RepID=C8KI33_ARATH	2.00E-110	98.14	AT5G45610.1|Symbols:SUV2|protein dimerizations|chr5:18496397-18499673 REVERSE LENGTH=646	2.00E-113	98.14	GO:0006974 GO:0007050	cell cycle arrest; response to DNA damage stimulus	GO:0046983	protein dimerization activity	GO:0005634	nucleus	NA	NA	NA	NA	NA	NA	
Glyma.01G010900	152	UniRef100_C6TCP9 Uncharacterized protein n=1 Tax=Glycine max RepID=C6TCP9_SOYBN	5.00E-104	100	NA	NA	NA	AT1G31940.1|Symbols:|unknown protein; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G35585.1); Has 67 Blast hits to 67 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 67; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).|chr1:11470293-11471154 REVERSE LENGTH=158	1.00E-64	93.67	NA	NA	NA	NA	GO:0005634 GO:0005886	nucleus; plasma membrane	NA	NA	NA	NA	NA	NA	
Glyma.01G011000	85	UniRef100_I1J4M6 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4M6_SOYBN	2.00E-53	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G011100	387	UniRef100_C6THL8 Uncharacterized protein n=1 Tax=Glycine max RepID=C6THL8_SOYBN	0	100	UniRef100_G7K9K1 26S proteasome non-ATPase regulatory subunit n=1 Tax=Medicago truncatula RepID=G7K9K1_MEDTR	0	100	AT4G19006.1|Symbols:|Proteasome component (PCI) domain protein|chr4:10409349-10411347 REVERSE LENGTH=386	0	100	GO:0006511 GO:0030163	protein catabolic process; ubiquitin-dependent protein catabolic process	GO:0003674	molecular function	GO:0000502 GO:0005634 GO:0005737 GO:0005829 GO:0008541	cytoplasm; cytosol; nucleus; proteasome complex; proteasome regulatory particle, lid subcomplex	PF01399	PCI domain	PTHR10539	26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 13	KOG2908	26S_proteasome_regulatory_complex,_subunit_RPN9/PSMD13  	
Glyma.01G011200	861	UniRef100_I1J4M8 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4M8_SOYBN	0	100	UniRef100_G7K9K2 Guanine nucleotide-binding protein alpha-2 subunit n=1 Tax=Medicago truncatula RepID=G7K9K2_MEDTR	0	102.5	AT1G31930.3|Symbols:XLG3|extra-large GTP-binding protein 3|chr1:11465832-11468961 FORWARD LENGTH=848	0	101.18	GO:0006184 GO:0007165 GO:0007186 GO:0007188 GO:0009630 GO:0009652 GO:0009723 GO:0009737 GO:0009744 GO:0009749 GO:0009750 GO:0010555 GO:0048364 GO:2000067	G-protein coupled receptor signaling pathway; GTP catabolic process; adenylate cyclase-modulating G-protein coupled receptor signaling pathway; gravitropism; regulation of root morphogenesis; response to abscisic acid stimulus; response to ethylene stimulus; response to fructose stimulus; response to glucose stimulus; response to mannitol stimulus; response to sucrose stimulus; root development; signal transduction; thigmotropism	GO:0001664 GO:0003924 GO:0004871 GO:0019001 GO:0031683	G-protein beta/gamma-subunit complex binding; G-protein coupled receptor binding; GTPase activity; guanyl nucleotide binding; signal transducer activity	GO:0005634 GO:0005737 GO:0005834 GO:0031234	cytoplasm; extrinsic to internal side of plasma membrane; heterotrimeric G-protein complex; nucleus	PF00503	G-protein alpha subunit	PTHR10218	GTP-BINDING PROTEIN ALPHA SUBUNIT	KOG0082	G-protein_alpha_subunit_(small_G_protein_superfamily)  	
Glyma.01G011300	606	UniRef100_I1J4M9 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4M9_SOYBN	0	100	UniRef100_G7K9K3 Pentatricopeptide repeat-containing protein n=1 Tax=Medicago truncatula RepID=G7K9K3_MEDTR	0	98.25	AT1G31920.1|Symbols:|Tetratricopeptide repeat (TPR)-like superfamily protein|chr1:11461864-11463684 REVERSE LENGTH=606	0	96.7	GO:0008150 GO:0010075 GO:0016556	biological process; mRNA modification; regulation of meristem growth	NA	NA	GO:0005739	mitochondrion	PF01535	PPR repeat	PTHR24015	FAMILY NOT NAMED	NA	NA	
Glyma.01G011400	180	UniRef100_K7K161 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K161_SOYBN	8.00E-128	100	UniRef100_G7K9K5 Vacuolar protein sorting-associated protein n=1 Tax=Medicago truncatula RepID=G7K9K5_MEDTR	3.00E-115	100	AT4G19003.1|Symbols:VPS25|E2F/DP family winged-helix DNA-binding domain|chr4:10407571-10408582 REVERSE LENGTH=179	2.00E-107	100	GO:0016192	vesicle-mediated transport	GO:0005515	protein binding	GO:0000814 GO:0005737	ESCRT II complex; cytoplasm	PF05871	ESCRT-II complex subunit	PTHR13149	VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN VPS25	KOG4068	Uncharacterized_conserved_protein  	
Glyma.01G011500	522	UniRef100_UPI0003DEC882 PREDICTED: uncharacterized protein LOC100806409 n=1 Tax=Glycine max RepID=UPI0003DEC882	0	100	UniRef100_U5G3G7 Lipase class 3 family protein n=1 Tax=Populus trichocarpa RepID=U5G3G7_POPTR	3.00E-98	79.84	AT4G16070.1|Symbols:|Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3|chr4:9096808-9100596 REVERSE LENGTH=654	2.00E-87	42.35	GO:0006629 GO:0016042	lipid catabolic process; lipid metabolic process	GO:0004091 GO:0004806	carboxylesterase activity; triglyceride lipase activity	GO:0005886	plasma membrane	PF01764	Lipase (class 3)	PTHR21493	CGI-141-RELATED/LIPASE CONTAINING PROTEIN	KOG2088	Predicted_lipase/calmodulin-binding_heat-shock_protein  	
Glyma.01G011600	519	UniRef100_I1J4N2 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4N2_SOYBN	0	100	UniRef100_U5G3G7 Lipase class 3 family protein n=1 Tax=Populus trichocarpa RepID=U5G3G7_POPTR	9.00E-106	79.37	AT4G16070.1|Symbols:|Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3|chr4:9096808-9100596 REVERSE LENGTH=654	1.00E-78	41.13	GO:0006629 GO:0016042	lipid catabolic process; lipid metabolic process	GO:0004091 GO:0004806	carboxylesterase activity; triglyceride lipase activity	GO:0005886	plasma membrane	PF01764	Lipase (class 3)	PTHR21493	CGI-141-RELATED/LIPASE CONTAINING PROTEIN	KOG2088	Predicted_lipase/calmodulin-binding_heat-shock_protein  	
Glyma.01G011700	606	UniRef100_K7K163 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K163_SOYBN	0	100	UniRef100_G7K9K3 Pentatricopeptide repeat-containing protein n=1 Tax=Medicago truncatula RepID=G7K9K3_MEDTR	0	98.25	AT1G31920.1|Symbols:|Tetratricopeptide repeat (TPR)-like superfamily protein|chr1:11461864-11463684 REVERSE LENGTH=606	0	94.88	GO:0008150 GO:0010075 GO:0016556	biological process; mRNA modification; regulation of meristem growth	NA	NA	GO:0005739	mitochondrion	PF01535	PPR repeat	PTHR24015	FAMILY NOT NAMED	NA	NA	
Glyma.01G011800	301	UniRef100_K7K165 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K165_SOYBN	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR21493	CGI-141-RELATED/LIPASE CONTAINING PROTEIN	NA	NA	
Glyma.01G011900	753	UniRef100_I1J4N4 Uncharacterized protein n=2 Tax=Glycine max RepID=I1J4N4_SOYBN	0	100	UniRef100_G7K9M3 Ankyrin repeat-containing protein n=1 Tax=Medicago truncatula RepID=G7K9M3_MEDTR	9.00E-180	98.18	AT3G18670.1|Symbols:|Ankyrin repeat family protein|chr3:6424135-6426471 REVERSE LENGTH=598	7.00E-90	93.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KOG4412	26S_proteasome_regulatory_complex,_subunit_PSMD10  	
Glyma.01G012000	1092	UniRef100_K7K166 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K166_SOYBN	0	100	UniRef100_G7K9N1 Cc-nbs-lrr resistance protein n=1 Tax=Medicago truncatula RepID=G7K9N1_MEDTR	0	91.6	AT3G14470.1|Symbols:|NB-ARC domain-containing disease resistance protein|chr3:4857940-4861104 FORWARD LENGTH=1054	4.00E-74	84.16	GO:0006952 GO:0009627 GO:0009697	defense response; salicylic acid biosynthetic process; systemic acquired resistance	GO:0005515 GO:0043531	ADP binding; protein binding	GO:0005576	extracellular region	PF00560 PF00931	Leucine Rich Repeat; NB-ARC domain	PTHR23155	LEUCINE-RICH REPEAT-CONTAINING PROTEIN	KOG4658	Apoptotic_ATPase  	
Glyma.01G012100	572	UniRef100_I1J4N6 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4N6_SOYBN	0	100	UniRef100_U5G3G7 Lipase class 3 family protein n=1 Tax=Populus trichocarpa RepID=U5G3G7_POPTR	3.00E-132	88.57	AT4G16070.1|Symbols:|Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3|chr4:9096808-9100596 REVERSE LENGTH=654	4.00E-118	83.49	GO:0006629 GO:0016042	lipid catabolic process; lipid metabolic process	GO:0004091 GO:0004806	carboxylesterase activity; triglyceride lipase activity	GO:0005886	plasma membrane	PF01764	Lipase (class 3)	PTHR21493	CGI-141-RELATED/LIPASE CONTAINING PROTEIN	KOG2088	Predicted_lipase/calmodulin-binding_heat-shock_protein  	
Glyma.01G012200	488	UniRef100_K7K167 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K167_SOYBN	0	96.63	UniRef100_U5G3G7 Lipase class 3 family protein n=1 Tax=Populus trichocarpa RepID=U5G3G7_POPTR	4.00E-95	76.98	AT4G16070.1|Symbols:|Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3|chr4:9096808-9100596 REVERSE LENGTH=654	4.00E-78	74.46	GO:0006629 GO:0016042	lipid catabolic process; lipid metabolic process	GO:0004091 GO:0004806	carboxylesterase activity; triglyceride lipase activity	GO:0005886	plasma membrane	PF01764	Lipase (class 3)	PTHR21493	CGI-141-RELATED/LIPASE CONTAINING PROTEIN	NA	NA	
Glyma.01G012300	151	UniRef100_I1J4N8 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4N8_SOYBN	2.00E-104	100	UniRef100_G7K9K6 Protein FAM96B n=1 Tax=Medicago truncatula RepID=G7K9K6_MEDTR	4.00E-83	89.29	AT1G68310.1|Symbols:AE7|Protein of unknown function (DUF59)|chr1:25599812-25601239 FORWARD LENGTH=159	1.00E-72	92.45	GO:0006259 GO:0009944 GO:0016226 GO:0042127 GO:0051726 GO:1990067 GO:2001022	DNA metabolic process; intrachromosomal DNA recombination; iron-sulfur cluster assembly; polarity specification of adaxial/abaxial axis; positive regulation of response to DNA damage stimulus; regulation of cell cycle; regulation of cell proliferation	GO:0010209	vacuolar sorting signal binding	GO:0005634	nucleus	PF01883	Domain of unknown function DUF59	PTHR12377	UNCHARACTERIZED	KOG3381	Uncharacterized_conserved_protein  	
